user_id,book_id,rating
1,519,4.5
1,122,2.5
1,534,4.5
1,505,4.0
1,617,3.5
1,356,2.5
1,31,4.5
1,327,4.5
1,994,3.0
1,513,1.0
2,104,3.0
2,642,1.5
2,443,3.5
2,581,4.5
2,507,5.0
2,203,3.5
2,473,3.5
3,568,3.0
3,730,2.0
3,237,3.5
3,902,5.0
3,842,3.0
3,494,3.5
3,730,3.5
3,632,2.5
3,311,5.0
3,154,5.0
3,447,3.0
3,767,2.5
3,427,3.0
3,656,4.0
3,492,2.5
3,828,5.0
3,192,3.0
4,868,2.5
4,466,3.5
4,243,3.5
4,491,4.0
4,542,3.5
4,937,3.0
4,563,2.0
4,773,4.5
4,165,2.5
4,3,4.0
4,75,3.5
4,525,4.0
4,246,3.0
4,327,3.5
4,238,3.5
4,367,3.5
4,705,3.5
4,71,3.5
4,657,3.5
4,869,4.0
4,298,3.0
4,178,4.0
4,917,2.5
4,444,2.5
4,292,4.0
4,866,3.5
4,722,3.5
4,255,2.0
4,579,4.0
4,618,4.0
4,765,2.0
5,44,3.5
5,2,3.5
5,810,2.0
5,777,4.0
5,933,4.5
5,733,2.5
5,714,3.5
5,821,3.0
5,706,3.5
5,474,3.0
5,292,4.0
5,133,3.0
5,683,5.0
5,436,4.0
5,979,4.5
5,15,4.0
5,679,2.5
5,482,4.0
5,259,3.5
5,156,4.0
5,611,3.5
5,448,3.5
5,717,4.5
5,223,3.5
5,871,3.5
6,771,3.5
6,197,2.5
6,195,4.0
6,897,5.0
6,302,4.5
6,677,3.0
6,136,4.0
6,184,4.0
6,215,3.0
6,446,3.5
6,630,4.0
6,644,3.5
6,331,3.0
6,334,2.5
6,199,4.0
6,650,5.0
6,513,3.5
6,6,4.5
6,67,2.5
6,878,3.5
6,900,3.0
6,267,4.0
6,539,3.0
6,237,4.0
6,423,3.0
6,290,2.5
6,683,4.0
6,565,5.0
6,427,2.0
6,244,3.5
6,72,3.5
6,193,4.0
8,301,4.0
8,926,4.0
8,272,5.0
8,668,5.0
8,877,3.5
8,574,4.5
8,541,4.5
8,521,4.0
8,281,3.5
8,326,4.0
8,9,5.0
8,310,4.5
8,313,4.0
8,20,4.0
9,741,3.5
9,441,3.5
9,112,4.0
9,244,3.0
9,816,4.0
9,829,4.0
9,693,4.5
9,926,4.5
9,255,3.0
9,482,4.5
9,200,4.5
9,30,4.0
9,341,5.0
9,147,4.0
9,16,4.5
9,731,4.0
9,321,4.5
9,4,3.0
9,83,4.0
9,326,3.5
9,289,4.0
9,825,4.0
9,604,4.0
9,131,3.5
9,290,3.0
9,712,4.0
9,995,3.5
9,647,4.0
9,560,3.5
9,999,3.0
9,938,3.5
9,949,3.5
9,994,4.5
9,166,4.0
9,997,4.5
9,113,4.5
9,950,3.0
10,744,4.0
10,244,2.5
10,234,3.5
10,380,4.5
10,254,4.5
10,600,4.0
10,900,3.5
10,686,4.0
10,559,4.0
10,886,4.5
10,509,4.0
10,859,4.5
10,649,4.0
10,238,3.5
10,859,4.0
10,139,4.5
10,817,4.0
10,242,3.5
10,512,4.0
10,576,3.5
11,731,3.5
